basket_id,item_id,item_name,category,quantity,basket_theme
B011,I048,Перец болгарский,Овощи,2,breakfast_basic
B011,I058,Редис,Овощи,1,breakfast_basic
B011,I115,Кофе молотый,Напитки,1,breakfast_basic
B011,I159,Туалетная бумага,Дом,1,breakfast_basic
B012,I045,Чеснок,Овощи,1,veggie_stew
B012,I048,Перец болгарский,Овощи,2,veggie_stew
B012,I053,Шампиньоны,Овощи,2,veggie_stew
B012,I054,Кабачки,Овощи,1,veggie_stew
B012,I055,Баклажаны,Овощи,1,veggie_stew
B012,I079,Булгур,Бакалея,1,veggie_stew
B012,I089,Оливковое масло,Бакалея,1,veggie_stew
B012,I111,Итальянские травы,Специи,1,veggie_stew
B012,I158,Бумажные полотенца,Дом,1,veggie_stew
B013,I014,Молоко безлактозное,Молочные продукты,2,healthy_breakfast
B013,I064,Яблоки,Фрукты,1,healthy_breakfast
B013,I065,Бананы,Фрукты,2,healthy_breakfast
B013,I133,Печенье овсяное,Сладости,1,healthy_breakfast
B013,I135,Мед,Сладости,2,healthy_breakfast
B013,I143,Гранола,Завтраки,1,healthy_breakfast
B014,I065,Бананы,Фрукты,1,pets_home
B014,I115,Кофе молотый,Напитки,1,pets_home
B014,I155,Наполнитель для кошачьего туалета,Зоотовары,1,pets_home
B014,I156,Средство для посуды,Бытовая химия,1,pets_home
B014,I160,Пакеты для мусора,Дом,1,pets_home
B015,I013,Йогурт греческий,Молочные продукты,1,fitness_protein
B015,I057,Авокадо,Овощи,1,fitness_protein
B015,I084,Овсяные хлопья,Бакалея,1,fitness_protein
B015,I119,Вода минеральная,Напитки,2,fitness_protein
B015,I138,Миндаль,Снэки,1,fitness_protein
B015,I147,Сэндвич с курицей,Готовая еда,1,fitness_protein
B016,I017,Батон нарезной,Хлеб,2,veggie_stew
B016,I045,Чеснок,Овощи,1,veggie_stew
B016,I079,Булгур,Бакалея,1,veggie_stew
B016,I089,Оливковое масло,Бакалея,1,veggie_stew
B016,I104,Соевый соус,Соусы,1,veggie_stew
B016,I111,Итальянские травы,Специи,1,veggie_stew
B016,I143,Гранола,Завтраки,1,veggie_stew
B017,I006,Сыр гауда,Молочные продукты,1,sandwiches
B017,I011,Сыр творожный,Молочные продукты,1,sandwiches
B017,I015,Хлеб пшеничный,Хлеб,1,sandwiches
B017,I025,Куриное филе,Мясо и птица,1,sandwiches
B017,I034,Ветчина,Мясо и птица,1,sandwiches
B017,I043,Морковь,Овощи,3,sandwiches
B017,I046,Помидоры,Овощи,3,sandwiches
B017,I047,Огурцы,Овощи,1,sandwiches
B017,I051,Салат айсберг,Овощи,1,sandwiches
B017,I061,Петрушка,Овощи,1,sandwiches
B018,I006,Сыр гауда,Молочные продукты,1,burger_night
B018,I019,Булочки для бургеров,Хлеб,2,burger_night
B018,I032,Бекон,Мясо и птица,1,burger_night
B018,I046,Помидоры,Овощи,2,burger_night
B018,I047,Огурцы,Овощи,1,burger_night
B018,I051,Салат айсберг,Овощи,1,burger_night
B018,I052,Шпинат,Овощи,2,burger_night
B018,I102,Кетчуп,Соусы,1,burger_night
B018,I106,Горчица,Соусы,1,burger_night
B018,I115,Кофе молотый,Напитки,1,burger_night
B018,I119,Вода минеральная,Напитки,2,burger_night
B018,I129,Картофель фри замороженный,Заморозка,2,burger_night
B019,I025,Куриное филе,Мясо и птица,1,curry_dinner
B019,I045,Чеснок,Овощи,2,curry_dinner
B019,I056,Брокколи,Овощи,1,curry_dinner
B019,I063,Имбирь,Овощи,1,curry_dinner
B019,I067,Лимоны,Фрукты,1,curry_dinner
B019,I076,Рис длиннозерный,Бакалея,1,curry_dinner
B019,I090,Кокосовое молоко,Бакалея,1,curry_dinner
B020,I003,Йогурт натуральный,Молочные продукты,1,office_lunch
B020,I035,Котлеты куриные,Мясо и птица,1,office_lunch
B020,I044,Лук репчатый,Овощи,2,office_lunch
B020,I065,Бананы,Фрукты,2,office_lunch
B020,I071,Голубика,Фрукты,1,office_lunch
B020,I119,Вода минеральная,Напитки,2,office_lunch
B020,I132,Шоколад темный,Сладости,1,office_lunch
B020,I146,Салат цезарь готовый,Готовая еда,1,office_lunch
B020,I147,Сэндвич с курицей,Готовая еда,1,office_lunch
B020,I159,Туалетная бумага,Дом,1,office_lunch
B021,I001,Молоко 2.5%,Молочные продукты,2,baby_care
B021,I003,Йогурт натуральный,Молочные продукты,1,baby_care
B021,I004,Творог 5%,Молочные продукты,1,baby_care
B021,I064,Яблоки,Фрукты,2,baby_care
B021,I068,Груши,Фрукты,1,baby_care
B021,I133,Печенье овсяное,Сладости,1,baby_care
B021,I149,Детское пюре яблочное,Детские товары,1,baby_care
B021,I150,Детская каша,Детские товары,1,baby_care
B021,I151,Подгузники,Детские товары,2,baby_care
B021,I152,Влажные салфетки,Детские товары,1,baby_care
B021,I159,Туалетная бумага,Дом,1,baby_care
B022,I036,Лосось филе,Рыба,1,fish_dinner
B022,I047,Огурцы,Овощи,2,fish_dinner
B022,I052,Шпинат,Овощи,2,fish_dinner
B022,I065,Бананы,Фрукты,2,fish_dinner
B022,I109,Черный перец,Специи,1,fish_dinner
B022,I143,Гранола,Завтраки,1,fish_dinner
B022,I146,Салат цезарь готовый,Готовая еда,1,fish_dinner
B023,I010,Пармезан,Молочные продукты,1,pasta_italian
B023,I020,Багет,Хлеб,2,pasta_italian
B023,I023,Яйца C1 10 шт,Бакалея,1,pasta_italian
B023,I046,Помидоры,Овощи,1,pasta_italian
B023,I096,Томатная паста,Соусы,1,pasta_italian
B023,I101,Соус песто,Соусы,1,pasta_italian
B023,I111,Итальянские травы,Специи,1,pasta_italian
B023,I115,Кофе молотый,Напитки,1,pasta_italian
B024,I006,Сыр гауда,Молочные продукты,1,mexican_tacos
B024,I018,Лаваш,Хлеб,1,mexican_tacos
B024,I027,Фарш говяжий,Мясо и птица,1,mexican_tacos
B024,I046,Помидоры,Овощи,3,mexican_tacos
B024,I055,Баклажаны,Овощи,1,mexican_tacos
B024,I057,Авокадо,Овощи,1,mexican_tacos
B024,I062,Острый перец,Овощи,1,mexican_tacos
B024,I065,Бананы,Фрукты,2,mexican_tacos
B024,I071,Голубика,Фрукты,1,mexican_tacos
B024,I095,Какао порошок,Бакалея,1,mexican_tacos
B024,I098,Кукуруза консервированная,Консервы,1,mexican_tacos
B024,I107,Сальса,Соусы,1,mexican_tacos
B024,I138,Миндаль,Снэки,2,mexican_tacos
B025,I006,Сыр гауда,Молочные продукты,1,frozen_quick
B025,I023,Яйца C1 10 шт,Бакалея,1,frozen_quick
B025,I047,Огурцы,Овощи,3,frozen_quick
B025,I102,Кетчуп,Соусы,1,frozen_quick
B025,I120,Газированная вода,Напитки,6,frozen_quick
B025,I123,Мороженое ванильное,Заморозка,1,frozen_quick
B025,I124,Пельмени,Заморозка,1,frozen_quick
B025,I125,Вареники с картофелем,Заморозка,1,frozen_quick
B025,I126,Овощная смесь замороженная,Заморозка,1,frozen_quick
B025,I128,Пицца замороженная,Заморозка,2,frozen_quick
B026,I006,Сыр гауда,Молочные продукты,1,burger_night
B026,I019,Булочки для бургеров,Хлеб,2,burger_night
B026,I027,Фарш говяжий,Мясо и птица,1,burger_night
B026,I032,Бекон,Мясо и птица,1,burger_night
B026,I051,Салат айсберг,Овощи,1,burger_night
B026,I055,Баклажаны,Овощи,1,burger_night
B026,I060,Укроп,Овощи,2,burger_night
B026,I102,Кетчуп,Соусы,1,burger_night
B026,I106,Горчица,Соусы,1,burger_night
B027,I046,Помидоры,Овощи,1,veggie_stew
B027,I048,Перец болгарский,Овощи,2,veggie_stew
B027,I054,Кабачки,Овощи,2,veggie_stew
B027,I055,Баклажаны,Овощи,1,veggie_stew
B027,I079,Булгур,Бакалея,1,veggie_stew
B027,I089,Оливковое масло,Бакалея,1,veggie_stew
B027,I119,Вода минеральная,Напитки,3,veggie_stew
B027,I129,Картофель фри замороженный,Заморозка,1,veggie_stew
B028,I001,Молоко 2.5%,Молочные продукты,1,weekly_stock
B028,I006,Сыр гауда,Молочные продукты,1,weekly_stock
B028,I015,Хлеб пшеничный,Хлеб,2,weekly_stock
B028,I023,Яйца C1 10 шт,Бакалея,1,weekly_stock
B028,I025,Куриное филе,Мясо и птица,1,weekly_stock
B028,I044,Лук репчатый,Овощи,2,weekly_stock
B028,I078,Гречка,Бакалея,1,weekly_stock
B028,I088,Подсолнечное масло,Бакалея,1,weekly_stock
B028,I119,Вода минеральная,Напитки,3,weekly_stock
B029,I001,Молоко 2.5%,Молочные продукты,2,big_family_stock
B029,I017,Батон нарезной,Хлеб,1,big_family_stock
B029,I023,Яйца C1 10 шт,Бакалея,1,big_family_stock
B029,I026,Куриные бедра,Мясо и птица,1,big_family_stock
B029,I027,Фарш говяжий,Мясо и птица,1,big_family_stock
B029,I042,Картофель,Овощи,1,big_family_stock
B029,I061,Петрушка,Овощи,1,big_family_stock
B029,I065,Бананы,Фрукты,1,big_family_stock
B029,I078,Гречка,Бакалея,1,big_family_stock
B029,I082,Макароны пенне,Бакалея,1,big_family_stock
B029,I086,Сахар,Бакалея,1,big_family_stock
B029,I113,Чай черный,Напитки,1,big_family_stock
B029,I123,Мороженое ванильное,Заморозка,2,big_family_stock
B029,I158,Бумажные полотенца,Дом,1,big_family_stock
B029,I159,Туалетная бумага,Дом,1,big_family_stock
B030,I005,Сметана 20%,Молочные продукты,1,veggie_stew
B030,I045,Чеснок,Овощи,1,veggie_stew
B030,I046,Помидоры,Овощи,3,veggie_stew
B030,I053,Шампиньоны,Овощи,2,veggie_stew
B030,I079,Булгур,Бакалея,1,veggie_stew
B030,I089,Оливковое масло,Бакалея,1,veggie_stew
B030,I111,Итальянские травы,Специи,1,veggie_stew
B031,I026,Куриные бедра,Мясо и птица,1,bbq_picnic
B031,I029,Свинина для жарки,Мясо и птица,1,bbq_picnic
B031,I046,Помидоры,Овощи,1,bbq_picnic
B031,I047,Огурцы,Овощи,2,bbq_picnic
B031,I067,Лимоны,Фрукты,1,bbq_picnic
B031,I102,Кетчуп,Соусы,1,bbq_picnic
B031,I120,Газированная вода,Напитки,2,bbq_picnic
B031,I136,Джем клубничный,Сладости,1,bbq_picnic
B031,I139,Чипсы картофельные,Снэки,2,bbq_picnic
B031,I158,Бумажные полотенца,Дом,1,bbq_picnic
B031,I159,Туалетная бумага,Дом,1,bbq_picnic
B032,I006,Сыр гауда,Молочные продукты,1,sandwiches
B032,I011,Сыр творожный,Молочные продукты,1,sandwiches
B032,I015,Хлеб пшеничный,Хлеб,2,sandwiches
B032,I017,Батон нарезной,Хлеб,2,sandwiches
B032,I034,Ветчина,Мясо и птица,1,sandwiches
B032,I046,Помидоры,Овощи,3,sandwiches
B032,I047,Огурцы,Овощи,3,sandwiches
B032,I071,Голубика,Фрукты,1,sandwiches
B032,I113,Чай черный,Напитки,1,sandwiches
B032,I140,Сухарики,Снэки,1,sandwiches
B033,I023,Яйца C1 10 шт,Бакалея,1,baking_sweet
B033,I030,Говядина стейк,Мясо и птица,1,baking_sweet
B033,I052,Шпинат,Овощи,1,baking_sweet
B033,I067,Лимоны,Фрукты,2,baking_sweet
B033,I085,Мука пшеничная,Бакалея,1,baking_sweet
B033,I093,Разрыхлитель теста,Бакалея,1,baking_sweet
B033,I094,Ванильный сахар,Бакалея,1,baking_sweet
B033,I095,Какао порошок,Бакалея,1,baking_sweet
B033,I157,Порошок стиральный,Бытовая химия,1,baking_sweet
B034,I065,Бананы,Фрукты,2,party_snacks
B034,I120,Газированная вода,Напитки,4,party_snacks
B034,I121,Квас,Напитки,1,party_snacks
B034,I123,Мороженое ванильное,Заморозка,1,party_snacks
B034,I128,Пицца замороженная,Заморозка,1,party_snacks
B034,I131,Шоколад молочный,Сладости,1,party_snacks
B034,I139,Чипсы картофельные,Снэки,1,party_snacks
B034,I140,Сухарики,Снэки,2,party_snacks
B035,I045,Чеснок,Овощи,2,veggie_stew
B035,I046,Помидоры,Овощи,3,veggie_stew
B035,I052,Шпинат,Овощи,1,veggie_stew
B035,I053,Шампиньоны,Овощи,1,veggie_stew
B035,I054,Кабачки,Овощи,1,veggie_stew
B035,I055,Баклажаны,Овощи,2,veggie_stew
B035,I057,Авокадо,Овощи,1,veggie_stew
B035,I064,Яблоки,Фрукты,1,veggie_stew
B035,I065,Бананы,Фрукты,2,veggie_stew
B035,I079,Булгур,Бакалея,1,veggie_stew
B035,I111,Итальянские травы,Специи,1,veggie_stew
B035,I120,Газированная вода,Напитки,2,veggie_stew
B035,I156,Средство для посуды,Бытовая химия,1,veggie_stew
B036,I001,Молоко 2.5%,Молочные продукты,2,weekly_stock
B036,I006,Сыр гауда,Молочные продукты,1,weekly_stock
B036,I015,Хлеб пшеничный,Хлеб,2,weekly_stock
B036,I023,Яйца C1 10 шт,Бакалея,2,weekly_stock
B036,I025,Куриное филе,Мясо и птица,1,weekly_stock
B036,I042,Картофель,Овощи,3,weekly_stock
B036,I044,Лук репчатый,Овощи,1,weekly_stock
B036,I048,Перец болгарский,Овощи,1,weekly_stock
B036,I064,Яблоки,Фрукты,3,weekly_stock
B036,I071,Голубика,Фрукты,1,weekly_stock
B036,I076,Рис длиннозерный,Бакалея,1,weekly_stock
B036,I078,Гречка,Бакалея,1,weekly_stock
B036,I088,Подсолнечное масло,Бакалея,1,weekly_stock
B036,I117,Сок яблочный,Напитки,1,weekly_stock
B036,I119,Вода минеральная,Напитки,6,weekly_stock
B037,I006,Сыр гауда,Молочные продукты,1,party_snacks
B037,I117,Сок яблочный,Напитки,1,party_snacks
B037,I120,Газированная вода,Напитки,3,party_snacks
B037,I121,Квас,Напитки,1,party_snacks
B037,I123,Мороженое ванильное,Заморозка,2,party_snacks
B037,I131,Шоколад молочный,Сладости,1,party_snacks
B037,I139,Чипсы картофельные,Снэки,1,party_snacks
B037,I140,Сухарики,Снэки,1,party_snacks
B038,I001,Молоко 2.5%,Молочные продукты,2,tea_sweets
B038,I113,Чай черный,Напитки,1,tea_sweets
B038,I115,Кофе молотый,Напитки,1,tea_sweets
B038,I119,Вода минеральная,Напитки,6,tea_sweets
B038,I131,Шоколад молочный,Сладости,1,tea_sweets
B038,I133,Печенье овсяное,Сладости,1,tea_sweets
B038,I134,Вафли,Сладости,2,tea_sweets
B038,I136,Джем клубничный,Сладости,1,tea_sweets
B039,I006,Сыр гауда,Молочные продукты,1,fruit_snack
B039,I015,Хлеб пшеничный,Хлеб,1,fruit_snack
B039,I065,Бананы,Фрукты,2,fruit_snack
B039,I066,Апельсины,Фрукты,1,fruit_snack
B039,I069,Виноград,Фрукты,1,fruit_snack
B039,I119,Вода минеральная,Напитки,1,fruit_snack
B039,I137,Орехи грецкие,Снэки,1,fruit_snack
B040,I001,Молоко 2.5%,Молочные продукты,2,breakfast_basic
B040,I006,Сыр гауда,Молочные продукты,1,breakfast_basic
B040,I007,Сливочное масло,Молочные продукты,1,breakfast_basic
B040,I015,Хлеб пшеничный,Хлеб,2,breakfast_basic
B040,I023,Яйца C1 10 шт,Бакалея,1,breakfast_basic
B040,I065,Бананы,Фрукты,1,breakfast_basic
B040,I115,Кофе молотый,Напитки,1,breakfast_basic
B041,I008,Сливки 10%,Молочные продукты,1,lasagna_pasta
B041,I009,Моцарелла,Молочные продукты,1,lasagna_pasta
B041,I010,Пармезан,Молочные продукты,1,lasagna_pasta
B041,I027,Фарш говяжий,Мясо и птица,1,lasagna_pasta
B041,I053,Шампиньоны,Овощи,2,lasagna_pasta
B041,I082,Макароны пенне,Бакалея,1,lasagna_pasta
B041,I096,Томатная паста,Соусы,1,lasagna_pasta
B041,I111,Итальянские травы,Специи,1,lasagna_pasta
B042,I001,Молоко 2.5%,Молочные продукты,1,weekly_stock
B042,I015,Хлеб пшеничный,Хлеб,2,weekly_stock
B042,I023,Яйца C1 10 шт,Бакалея,1,weekly_stock
B042,I025,Куриное филе,Мясо и птица,1,weekly_stock
B042,I044,Лук репчатый,Овощи,1,weekly_stock
B042,I048,Перец болгарский,Овощи,1,weekly_stock
B042,I051,Салат айсберг,Овощи,1,weekly_stock
B042,I064,Яблоки,Фрукты,3,weekly_stock
B042,I069,Виноград,Фрукты,1,weekly_stock
B042,I070,Клубника,Фрукты,1,weekly_stock
B042,I071,Голубика,Фрукты,2,weekly_stock
B042,I076,Рис длиннозерный,Бакалея,1,weekly_stock
B042,I078,Гречка,Бакалея,1,weekly_stock
B042,I088,Подсолнечное масло,Бакалея,1,weekly_stock
B042,I133,Печенье овсяное,Сладости,2,weekly_stock
B042,I157,Порошок стиральный,Бытовая химия,1,weekly_stock
B042,I158,Бумажные полотенца,Дом,1,weekly_stock
B043,I120,Газированная вода,Напитки,3,frozen_quick
B043,I121,Квас,Напитки,4,frozen_quick
B043,I123,Мороженое ванильное,Заморозка,2,frozen_quick
B043,I124,Пельмени,Заморозка,2,frozen_quick
B043,I125,Вареники с картофелем,Заморозка,2,frozen_quick
B043,I156,Средство для посуды,Бытовая химия,1,frozen_quick
B044,I153,Корм для кошек,Зоотовары,1,pets_home
B044,I154,Корм для собак,Зоотовары,1,pets_home
B044,I155,Наполнитель для кошачьего туалета,Зоотовары,2,pets_home
B044,I156,Средство для посуды,Бытовая химия,1,pets_home
B044,I158,Бумажные полотенца,Дом,1,pets_home
B044,I160,Пакеты для мусора,Дом,1,pets_home
B045,I018,Лаваш,Хлеб,1,bbq_picnic
B045,I026,Куриные бедра,Мясо и птица,1,bbq_picnic
B045,I029,Свинина для жарки,Мясо и птица,1,bbq_picnic
B045,I031,Сосиски,Мясо и птица,1,bbq_picnic
B045,I047,Огурцы,Овощи,2,bbq_picnic
B045,I051,Салат айсберг,Овощи,1,bbq_picnic
B045,I102,Кетчуп,Соусы,1,bbq_picnic
B045,I129,Картофель фри замороженный,Заморозка,1,bbq_picnic
B045,I139,Чипсы картофельные,Снэки,2,bbq_picnic
B045,I158,Бумажные полотенца,Дом,1,bbq_picnic
B046,I013,Йогурт греческий,Молочные продукты,1,fitness_protein
B046,I025,Куриное филе,Мясо и птица,1,fitness_protein
B046,I052,Шпинат,Овощи,1,fitness_protein
B046,I056,Брокколи,Овощи,1,fitness_protein
B046,I057,Авокадо,Овощи,1,fitness_protein
B046,I059,Зеленый лук,Овощи,1,fitness_protein
B046,I080,Киноа,Бакалея,1,fitness_protein
B047,I001,Молоко 2.5%,Молочные продукты,2,pasta_italian
B047,I044,Лук репчатый,Овощи,3,pasta_italian
B047,I045,Чеснок,Овощи,1,pasta_italian
B047,I067,Лимоны,Фрукты,2,pasta_italian
B047,I081,Макароны спагетти,Бакалея,1,pasta_italian
B047,I089,Оливковое масло,Бакалея,1,pasta_italian
B047,I096,Томатная паста,Соусы,1,pasta_italian
B047,I111,Итальянские травы,Специи,1,pasta_italian
B047,I113,Чай черный,Напитки,1,pasta_italian
B048,I001,Молоко 2.5%,Молочные продукты,3,breakfast_basic
B048,I006,Сыр гауда,Молочные продукты,1,breakfast_basic
B048,I007,Сливочное масло,Молочные продукты,1,breakfast_basic
B048,I015,Хлеб пшеничный,Хлеб,1,breakfast_basic
B048,I029,Свинина для жарки,Мясо и птица,1,breakfast_basic
B048,I065,Бананы,Фрукты,1,breakfast_basic
B048,I084,Овсяные хлопья,Бакалея,1,breakfast_basic
B048,I115,Кофе молотый,Напитки,1,breakfast_basic
B049,I006,Сыр гауда,Молочные продукты,1,burger_night
B049,I019,Булочки для бургеров,Хлеб,2,burger_night
B049,I032,Бекон,Мясо и птица,1,burger_night
B049,I046,Помидоры,Овощи,1,burger_night
B049,I051,Салат айсберг,Овощи,2,burger_night
B049,I102,Кетчуп,Соусы,1,burger_night
B049,I106,Горчица,Соусы,1,burger_night
B049,I129,Картофель фри замороженный,Заморозка,1,burger_night
B050,I038,Креветки очищенные,Рыба,1,seafood_asian
B050,I045,Чеснок,Овощи,1,seafood_asian
B050,I056,Брокколи,Овощи,1,seafood_asian
B050,I059,Зеленый лук,Овощи,2,seafood_asian
B050,I062,Острый перец,Овощи,2,seafood_asian
B050,I063,Имбирь,Овощи,1,seafood_asian
B050,I104,Соевый соус,Соусы,1,seafood_asian
B050,I105,Соус терияки,Соусы,1,seafood_asian
B051,I047,Огурцы,Овощи,1,fish_dinner
B051,I052,Шпинат,Овощи,1,fish_dinner
B051,I067,Лимоны,Фрукты,1,fish_dinner
B051,I076,Рис длиннозерный,Бакалея,1,fish_dinner
B051,I089,Оливковое масло,Бакалея,1,fish_dinner
B051,I109,Черный перец,Специи,1,fish_dinner
B051,I119,Вода минеральная,Напитки,2,fish_dinner
B051,I154,Корм для собак,Зоотовары,1,fish_dinner
B052,I001,Молоко 2.5%,Молочные продукты,3,breakfast_basic
B052,I006,Сыр гауда,Молочные продукты,1,breakfast_basic
B052,I007,Сливочное масло,Молочные продукты,1,breakfast_basic
B052,I020,Багет,Хлеб,1,breakfast_basic
B052,I023,Яйца C1 10 шт,Бакалея,1,breakfast_basic
B052,I064,Яблоки,Фрукты,3,breakfast_basic
B052,I065,Бананы,Фрукты,2,breakfast_basic
B052,I084,Овсяные хлопья,Бакалея,1,breakfast_basic
B052,I115,Кофе молотый,Напитки,1,breakfast_basic
B052,I131,Шоколад молочный,Сладости,1,breakfast_basic
B053,I006,Сыр гауда,Молочные продукты,1,weekly_stock
B053,I015,Хлеб пшеничный,Хлеб,2,weekly_stock
B053,I023,Яйца C1 10 шт,Бакалея,2,weekly_stock
B053,I025,Куриное филе,Мясо и птица,1,weekly_stock
B053,I044,Лук репчатый,Овощи,1,weekly_stock
B053,I064,Яблоки,Фрукты,3,weekly_stock
B053,I076,Рис длиннозерный,Бакалея,1,weekly_stock
B053,I078,Гречка,Бакалея,1,weekly_stock
B053,I088,Подсолнечное масло,Бакалея,1,weekly_stock
B053,I159,Туалетная бумага,Дом,1,weekly_stock
B054,I001,Молоко 2.5%,Молочные продукты,2,weekly_stock
B054,I006,Сыр гауда,Молочные продукты,1,weekly_stock
B054,I015,Хлеб пшеничный,Хлеб,1,weekly_stock
B054,I023,Яйца C1 10 шт,Бакалея,2,weekly_stock
