basket_id,item_name
B022,Лосось филе
B022,Огурцы
B022,Шпинат
B022,Бананы
B022,Черный перец
B022,Гранола
B022,Салат цезарь готовый
B023,Пармезан
B023,Багет
B023,Яйца C1 10 шт
B023,Помидоры
B023,Томатная паста
B023,Соус песто
B023,Итальянские травы
B023,Кофе молотый
B024,Сыр гауда
B024,Лаваш
B024,Фарш говяжий
B024,Помидоры
B024,Баклажаны
B024,Авокадо
B024,Острый перец
B024,Бананы
B024,Голубика
B024,Какао порошок
B024,Кукуруза консервированная
B024,Сальса
B024,Миндаль
B025,Сыр гауда
B025,Яйца C1 10 шт
B025,Огурцы
B025,Кетчуп
B025,Газированная вода
B025,Мороженое ванильное
B025,Пельмени
B025,Вареники с картофелем
B025,Овощная смесь замороженная
B025,Пицца замороженная
B026,Сыр гауда
B026,Булочки для бургеров
B026,Фарш говяжий
B026,Бекон
B026,Салат айсберг
B026,Баклажаны
B026,Укроп
B026,Кетчуп
B026,Горчица
B027,Помидоры
B027,Перец болгарский
B027,Кабачки
B027,Баклажаны
B027,Булгур
B027,Оливковое масло
B027,Вода минеральная
B027,Картофель фри замороженный
B028,Молоко 2.5%
B028,Сыр гауда
B028,Хлеб пшеничный
B028,Яйца C1 10 шт
B028,Куриное филе
B028,Лук репчатый
B028,Гречка
B028,Подсолнечное масло
B028,Вода минеральная
B029,Молоко 2.5%
B029,Батон нарезной
B029,Яйца C1 10 шт
B029,Куриные бедра
B029,Фарш говяжий
B029,Картофель
B029,Петрушка
B029,Бананы
B029,Гречка
B029,Макароны пенне
B029,Сахар
B029,Чай черный
B029,Мороженое ванильное
B029,Бумажные полотенца
B029,Туалетная бумага
B030,Сметана 20%
B030,Чеснок
B030,Помидоры
B030,Шампиньоны
B030,Булгур
B030,Оливковое масло
B030,Итальянские травы
B031,Куриные бедра
B031,Свинина для жарки
B031,Помидоры
B031,Огурцы
B031,Лимоны
B031,Кетчуп
B031,Газированная вода
B031,Джем клубничный
B031,Чипсы картофельные
B031,Бумажные полотенца
B031,Туалетная бумага
B032,Сыр гауда
B032,Сыр творожный
B032,Хлеб пшеничный
B032,Батон нарезной
B032,Ветчина
B032,Помидоры
B032,Огурцы
B032,Голубика
B032,Чай черный
B032,Сухарики
B033,Яйца C1 10 шт
B033,Говядина стейк
B033,Шпинат
B033,Лимоны
B033,Мука пшеничная
B033,Разрыхлитель теста
B033,Ванильный сахар
B033,Какао порошок
B033,Порошок стиральный
B034,Бананы
B034,Газированная вода
B034,Квас
B034,Мороженое ванильное
B034,Пицца замороженная
B034,Шоколад молочный
B034,Чипсы картофельные
B034,Сухарики
B035,Чеснок
B035,Помидоры
B035,Шпинат
B035,Шампиньоны
B035,Кабачки
B035,Баклажаны
B035,Авокадо
B035,Яблоки
B035,Бананы
B035,Булгур
B035,Итальянские травы
B035,Газированная вода
B035,Средство для посуды
B036,Молоко 2.5%
B036,Сыр гауда
B036,Хлеб пшеничный
B036,Яйца C1 10 шт
B036,Куриное филе
B036,Картофель
B036,Лук репчатый
B036,Перец болгарский
B036,Яблоки
B036,Голубика
B036,Рис длиннозерный
B036,Гречка
B036,Подсолнечное масло
B036,Сок яблочный
B036,Вода минеральная
B037,Сыр гауда
B037,Сок яблочный
B037,Газированная вода
B037,Квас
B037,Мороженое ванильное
B037,Шоколад молочный
B037,Чипсы картофельные
B037,Сухарики
B038,Молоко 2.5%
B038,Чай черный
B038,Кофе молотый
B038,Вода минеральная
B038,Шоколад молочный
B038,Печенье овсяное
B038,Вафли
B038,Джем клубничный
B039,Сыр гауда
B039,Хлеб пшеничный
B039,Бананы
B039,Апельсины
B039,Виноград
B039,Вода минеральная
B039,Орехи грецкие
B040,Молоко 2.5%
B040,Сыр гауда
B040,Сливочное масло
B040,Хлеб пшеничный
B040,Яйца C1 10 шт
B040,Бананы
B040,Кофе молотый
B041,Сливки 10%
B041,Моцарелла
B041,Пармезан
B041,Фарш говяжий
B041,Шампиньоны
B041,Макароны пенне
B041,Томатная паста
B041,Итальянские травы
B042,Молоко 2.5%
B042,Хлеб пшеничный
B042,Яйца C1 10 шт
B042,Куриное филе
B042,Лук репчатый
B042,Перец болгарский
B042,Салат айсберг
B042,Яблоки
B042,Виноград
B042,Клубника
B042,Голубика
B042,Рис длиннозерный
B042,Гречка
B042,Подсолнечное масло
B042,Печенье овсяное
B042,Порошок стиральный
B042,Бумажные полотенца
B043,Газированная вода
B043,Квас
B043,Мороженое ванильное
B043,Пельмени
B043,Вареники с картофелем
B043,Средство для посуды
B044,Корм для кошек
B044,Корм для собак
B044,Наполнитель для кошачьего туалета
B044,Средство для посуды
B044,Бумажные полотенца
B044,Пакеты для мусора
B045,Лаваш
B045,Куриные бедра
B045,Свинина для жарки
B045,Сосиски
B045,Огурцы
B045,Салат айсберг
B045,Кетчуп
B045,Картофель фри замороженный
B045,Чипсы картофельные
B045,Бумажные полотенца
B046,Йогурт греческий
B046,Куриное филе
B046,Шпинат
B046,Брокколи
B046,Авокадо
B046,Зеленый лук
B046,Киноа
B047,Молоко 2.5%
B047,Лук репчатый
B047,Чеснок
B047,Лимоны
B047,Макароны спагетти
B047,Оливковое масло
B047,Томатная паста
B047,Итальянские травы
B047,Чай черный
B048,Молоко 2.5%
B048,Сыр гауда
B048,Сливочное масло
B048,Хлеб пшеничный
B048,Свинина для жарки
B048,Бананы
B048,Овсяные хлопья
B048,Кофе молотый
B049,Сыр гауда
B049,Булочки для бургеров
B049,Бекон
B049,Помидоры
B049,Салат айсберг
B049,Кетчуп
B049,Горчица
B049,Картофель фри замороженный
B050,Креветки очищенные
B050,Чеснок
B050,Брокколи
B050,Зеленый лук
B050,Острый перец
B050,Имбирь
B050,Соевый соус
B050,Соус терияки
B051,Огурцы
B051,Шпинат
B051,Лимоны
B051,Рис длиннозерный
B051,Оливковое масло
B051,Черный перец
B051,Вода минеральная
B051,Корм для собак
B052,Молоко 2.5%
B052,Сыр гауда
B052,Сливочное масло
B052,Багет
B052,Яйца C1 10 шт
B052,Яблоки
B052,Бананы
B052,Овсяные хлопья
B052,Кофе молотый
B052,Шоколад молочный
B053,Сыр гауда
B053,Хлеб пшеничный
B053,Яйца C1 10 шт
B053,Куриное филе
B053,Лук репчатый
B053,Яблоки
B053,Рис длиннозерный
B053,Гречка
B053,Подсолнечное масло
B053,Туалетная бумага
B054,Молоко 2.5%
B054,Сыр гауда
B054,Хлеб пшеничный
B054,Яйца C1 10 шт
B054,Куриное филе
B054,Лук репчатый
B054,Авокадо
B054,Яблоки
B054,Виноград
B054,Рис длиннозерный
B054,Гречка
B054,Подсолнечное масло
B054,Вода минеральная
B054,Порошок стиральный
B055,Сметана 20%
B055,Хлеб ржаной
B055,Говядина стейк
B055,Картофель
B055,Морковь
B055,Лук репчатый
B055,Чеснок
B055,Капуста белокочанная
B055,Свекла
B055,Салат айсберг
B055,Укроп
B055,Соус терияки
B055,Пакеты для мусора
B056,Сыр гауда
B056,Пармезан
B056,Хлеб ржаной
B056,Багет
B056,Помидоры
B056,Голубика
B056,Оливковое масло
B056,Томатная паста
B056,Горошек консервированный
B056,Соус песто
B056,Итальянские травы
B057,Овсяные хлопья
B057,Влажные салфетки
B057,Порошок стиральный
B057,Бумажные полотенца
B057,Туалетная бумага
B057,Пакеты для мусора
B058,Молоко 2.5%
B058,Сыр гауда
B058,Яйца C1 10 шт
B058,Гречка
B058,Мука пшеничная
B058,Сахар
B058,Разрыхлитель теста
B058,Какао порошок
B058,Вода минеральная
B059,Яйца C1 10 шт
B059,Картофель
B059,Кетчуп
B059,Мороженое ванильное
B059,Вареники с картофелем
B059,Овощная смесь замороженная
B059,Пицца замороженная
B060,Пармезан
B060,Багет
B060,Чеснок
B060,Лимоны
B060,Макароны спагетти
B060,Сахар
B060,Оливковое масло
B060,Итальянские травы
B061,Салат айсберг
B061,Шпинат
B061,Шампиньоны
B061,Газированная вода
B061,Квас
B061,Мороженое ванильное
B061,Пицца замороженная
B061,Сухарики
B062,Сметана 20%
B062,Бекон
B062,Помидоры
B062,Салат айсберг
B062,Шпинат
B062,Кетчуп
B062,Горчица
B062,Кофе молотый
B063,Молоко 2.5%
B063,Сыр гауда
B063,Хлеб пшеничный
B063,Яйца C1 10 шт
B063,Бананы
B063,Овсяные хлопья
B063,Кофе молотый
B064,Лосось филе
B064,Морковь
B064,Лук репчатый
B064,Огурцы
B064,Шпинат
B064,Лимоны
B064,Рис длиннозерный
B064,Оливковое масло
B064,Разрыхлитель теста
B064,Вода минеральная
B065,Сливочное масло
B065,Картофель
B065,Морковь
B065,Лук репчатый
B065,Петрушка
B065,Яблоки
B065,Мороженое ванильное
B066,Чеснок
B066,Помидоры
B066,Перец болгарский
B066,Салат айсберг
B066,Шампиньоны
B066,Кабачки
B066,Баклажаны
B066,Булгур
B066,Оливковое масло
B066,Итальянские травы
B066,Бумажные полотенца
B067,Сыр гауда
B067,Лаваш
B067,Фарш говяжий
B067,Петрушка
B067,Яблоки
B067,Фасоль консервированная
B067,Кукуруза консервированная
B067,Сальса
B067,Мороженое ванильное
B067,Пицца замороженная
B067,Бумажные полотенца
B068,Пармезан
B068,Багет
B068,Чеснок
B068,Помидоры
B068,Шампиньоны
B068,Макароны спагетти
B068,Оливковое масло
B068,Томатная паста
B068,Соус песто
B068,Итальянские травы
B069,Молоко 2.5%
B069,Сыр гауда
B069,Сливочное масло
B069,Хлеб пшеничный
B069,Яйца C1 10 шт
B069,Бананы
B069,Кофе молотый
B070,Разрыхлитель теста
B070,Кетчуп
B070,Газированная вода
B070,Мороженое ванильное
B070,Пельмени
B070,Вареники с картофелем
B070,Овощная смесь замороженная
B070,Пицца замороженная
B071,Молоко 2.5%
B071,Яблоки
B071,Бананы
B071,Груши
B071,Подгузники
B072,Сыр гауда
B072,Лаваш
B072,Яйца C1 10 шт
B072,Котлеты куриные
B072,Авокадо
B072,Зеленый лук
B072,Острый перец
B072,Фасоль консервированная
B072,Кукуруза консервированная
B072,Сальса
B072,Газированная вода
B073,Молоко 2.5%
B073,Сливочное масло
B073,Бананы
B073,Виноград
B073,Овсяные хлопья
B073,Сахар
B073,Панировочные сухари
B073,Ванильный сахар
B073,Какао порошок
B073,Кофе молотый
B073,Шоколад темный
B074,Куриное филе
B074,Лук репчатый
B074,Зеленый лук
B074,Лимоны
B074,Виноград
B074,Газированная вода
B074,Мороженое ванильное
B074,Пицца замороженная
B074,Шоколад молочный
B074,Сухарики
B074,Сэндвич с курицей
B075,Молоко 2.5%
B075,Бананы
B075,Сок яблочный
B075,Хлопья кукурузные
B075,Детское пюре яблочное
B075,Детская каша
B076,Тунец консервированный
B076,Помидоры
B076,Салат айсберг
B076,Авокадо
B076,Бананы
B076,Овсяные хлопья
B076,Оливковое масло
B076,Мороженое ванильное
B077,Яйца C1 10 шт
B077,Морковь
B077,Укроп
B077,Горошек консервированный
B077,Майонез
B077,Кофе молотый
B078,Йогурт греческий
B078,Яйца C1 10 шт
B078,Куриное филе
B078,Огурцы
B078,Шпинат
B078,Брокколи
B078,Авокадо
B078,Клубника
B078,Киноа
B078,Чай черный
B078,Вода минеральная
B079,Лук репчатый
B079,Яблоки
B079,Корм для кошек
B079,Наполнитель для кошачьего туалета
B079,Средство для посуды
B079,Бумажные полотенца
B080,Огурцы
B080,Перец болгарский
B080,Салат айсберг
B080,Авокадо
B080,Лимоны
B080,Кукуруза консервированная
B080,Шоколад молочный
B080,Туалетная бумага
B081,Молоко 2.5%
B081,Йогурт греческий
B081,Куриное филе
B081,Шпинат
B081,Брокколи
B081,Авокадо
B081,Киноа
B081,Вода минеральная
B081,Миндаль
B081,Бумажные полотенца
B082,Лосось филе
B082,Помидоры
B082,Огурцы
B082,Перец болгарский
B082,Шпинат
B082,Бананы
B082,Лимоны
B082,Рис длиннозерный
B082,Оливковое масло
B082,Черный перец
B082,Вода минеральная
B082,Туалетная бумага
B083,Сливки 10%
B083,Моцарелла
B083,Батон нарезной
B083,Фарш говяжий
B083,Салат айсберг
B083,Шампиньоны
B083,Яблоки
B083,Томатная паста
B083,Чай черный
B083,Средство для посуды
B084,Хлеб пшеничный
B084,Батон нарезной
B084,Яйца C1 10 шт
B084,Куриные бедра
B084,Фарш говяжий
B084,Картофель
B084,Перец болгарский
B084,Гречка
B084,Сахар
B084,Томатная паста
B084,Чай черный
B084,Бумажные полотенца
B085,Сыр гауда
B085,Картофель
B085,Чеснок
B085,Помидоры
B085,Перец болгарский
B085,Шпинат
B085,Шампиньоны
B085,Кабачки
B085,Баклажаны
B085,Оливковое масло
B085,Итальянские травы
B086,Шампиньоны
B086,Укроп
B086,Петрушка
B086,Бананы
B086,Чай черный
B086,Вода минеральная
B086,Шоколад темный
B086,Сэндвич с курицей
B087,Йогурт греческий
B087,Бананы
B087,Овсяные хлопья
B087,Мед
B087,Орехи грецкие
B087,Гранола
B088,Корм для собак
B088,Наполнитель для кошачьего туалета
B088,Средство для посуды
B088,Бумажные полотенца
B088,Пакеты для мусора
B089,Моцарелла
B089,Лаваш
B089,Куриные бедра
B089,Свинина для жарки
B089,Лук репчатый
B089,Помидоры
B089,Огурцы
B089,Шампиньоны
B089,Авокадо
B089,Яблоки
B089,Кетчуп
B089,Газированная вода
B089,Чипсы картофельные
B089,Бумажные полотенца
B090,Хлеб ржаной
B090,Лосось филе
B090,Крабовые палочки
B090,Имбирь
B090,Рис для суши
B090,Нори
B090,Соевый соус
B090,Влажные салфетки
B091,Сметана 20%
B091,Пармезан
B091,Багет
B091,Картофель
B091,Чеснок
B091,Помидоры
B091,Перец болгарский
B091,Макароны спагетти
B091,Оливковое масло
B091,Томатная паста
B091,Соус песто
B091,Итальянские травы
B092,Молоко 2.5%
B092,Сыр гауда
B092,Сливочное масло
B092,Хлеб пшеничный
B092,Яйца C1 10 шт
B092,Морковь
B092,Бананы
B092,Овсяные хлопья
B092,Кофе молотый
B093,Лаваш
B093,Куриные бедра
B093,Помидоры
B093,Огурцы
B093,Газированная вода
B093,Чипсы картофельные
B093,Бумажные полотенца
B094,Сметана 20%
B094,Яйца C1 10 шт
B094,Вода минеральная
B094,Корм для собак
B094,Наполнитель для кошачьего туалета
B094,Средство для посуды
B094,Бумажные полотенца
B094,Пакеты для мусора
B095,Сливки 10%
B095,Моцарелла
B095,Пармезан
B095,Фарш говяжий
B095,Шампиньоны
B095,Макароны пенне
B095,Томатная паста
B095,Итальянские травы
B095,Шоколад молочный
B096,Куриное филе
B096,Брокколи
B096,Имбирь
B096,Лимоны
B096,Рис длиннозерный
B096,Кокосовое молоко
B096,Карри паста
B097,Сливки 10%
B097,Моцарелла
B097,Пармезан
B097,Ряженка
B097,Фарш говяжий
B097,Лосось филе
B097,Шампиньоны
B097,Яблоки
B097,Макароны пенне
B097,Итальянские травы
B097,Чай зеленый
B097,Средство для посуды
B098,Молоко 2.5%
B098,Сыр гауда
B098,Сливочное масло
B098,Хлеб пшеничный
B098,Яйца C1 10 шт
B098,Бананы
B098,Овсяные хлопья
B098,Кофе молотый
B099,Яйца C1 10 шт
B099,Картофель
B099,Морковь
B099,Лук репчатый
B099,Огурцы
B099,Петрушка
B099,Лимоны
B099,Клубника
B099,Рис длиннозерный
B099,Гречка
B099,Подсолнечное масло
B099,Фасоль консервированная
B099,Вода минеральная
B100,Молоко 2.5%
B100,Детское пюре яблочное
B100,Детская каша
B100,Подгузники
B100,Влажные салфетки
B101,Сыр гауда
B101,Лосось филе
B101,Крабовые палочки
B101,Огурцы
B101,Авокадо
B101,Имбирь
B101,Рис для суши
B101,Нори
B101,Томатная паста
B101,Соевый соус
B102,Куриные бедра
B102,Свинина для жарки
B102,Помидоры
B102,Огурцы
B102,Голубика
B102,Кетчуп
B102,Газированная вода
B102,Чипсы картофельные
B102,Бумажные полотенца
B103,Тунец консервированный
B103,Помидоры
B103,Огурцы
B103,Перец болгарский
B103,Авокадо
B103,Лимоны
B103,Оливковое масло
B103,Кукуруза консервированная
B103,Газированная вода
B104,Молоко 2.5%
B104,Йогурт натуральный
B104,Сок яблочный
B104,Шоколад молочный
B104,Печенье овсяное
B104,Хлопья кукурузные
B104,Детское пюре яблочное
B104,Детская каша
B104,Влажные салфетки
B105,Молоко 2.5%
B105,Сливочное масло
B105,Мука пшеничная
B105,Разрыхлитель теста
B105,Ванильный сахар
B105,Какао порошок
B105,Шоколад темный
B106,Йогурт натуральный
B106,Хлеб пшеничный
B106,Бананы
B106,Вода минеральная
B106,Салат цезарь готовый
B106,Сэндвич с курицей
B107,Йогурт натуральный
B107,Кофе зерновой
B107,Вода минеральная
B107,Шоколад темный
B107,Салат цезарь готовый
B107,Сэндвич с курицей
B108,Сливки 10%
B108,Пармезан
B108,Фарш говяжий
B108,Огурцы
B108,Макароны пенне
B108,Итальянские травы
B108,Средство для посуды
B109,Молоко 2.5%
B109,Тунец консервированный
B109,Морковь
B109,Помидоры
B109,Огурцы
B109,Перец болгарский
B109,Салат айсберг
B109,Укроп
B109,Лимоны
B109,Оливковое масло
B110,Сыр гауда
B110,Булочки для бургеров
B110,Фарш говяжий
B110,Бекон
B110,Морковь
B110,Помидоры
B110,Укроп
B110,Виноград
B110,Киви
B110,Кетчуп
B110,Горчица
B110,Мороженое ванильное
B111,Хлеб пшеничный
B111,Чеснок
B111,Помидоры
B111,Перец болгарский
B111,Шпинат
B111,Шампиньоны
B111,Кабачки
B111,Булгур
B111,Итальянские травы
B111,Влажные салфетки
B112,Молоко 2.5%
B112,Сыр гауда
B112,Хлеб пшеничный
B112,Яйца C1 10 шт
B112,Картофель
B112,Лук репчатый
B112,Шампиньоны
B112,Бананы
B112,Лимоны
B112,Рис длиннозерный
B112,Овсяные хлопья
B112,Подсолнечное масло
B112,Фасоль консервированная
B112,Чай черный
B112,Вода минеральная
B112,Порошок стиральный
B113,Молоко 2.5%
B113,Круассаны
B113,Перец болгарский
B113,Овсяные хлопья
B113,Чай черный
B113,Кофе молотый
B113,Шоколад молочный
B113,Печенье овсяное
B113,Вафли
B113,Джем клубничный
B114,Сливочное масло
B114,Хлеб пшеничный
B114,Яйца C1 10 шт
B114,Огурцы
B114,Бананы
B114,Кофе молотый
B114,Газированная вода
B115,Бананы
B115,Кетчуп
B115,Газированная вода
B115,Мороженое ванильное
B115,Пельмени
B115,Вареники с картофелем
B115,Овощная смесь замороженная
B115,Пицца замороженная
B116,Куриное филе
B116,Картофель
B116,Чай черный
B116,Порошок стиральный
B116,Бумажные полотенца
B116,Туалетная бумага
B116,Пакеты для мусора
B117,Овсяные хлопья
B117,Влажные салфетки
B117,Средство для посуды
B117,Порошок стиральный
B117,Туалетная бумага
B117,Пакеты для мусора
B118,Молоко 2.5%
B118,Сыр гауда
B118,Яйца C1 10 шт
B118,Лук репчатый
B118,Зеленый лук
B118,Укроп
B118,Яблоки
B118,Рис длиннозерный
B118,Овсяные хлопья
B118,Подсолнечное масло
B118,Вода минеральная
B118,Газированная вода
B118,Туалетная бумага
B119,Тунец консервированный
B119,Лук репчатый
B119,Помидоры
B119,Огурцы
B119,Перец болгарский
B119,Салат айсберг
B119,Голубика
B119,Киноа
B120,Яйца C1 10 шт
B120,Ветчина
B120,Лосось филе
B120,Крабовые палочки
B120,Огурцы
B120,Авокадо
B120,Имбирь
B120,Соевый соус
B120,Квас
B120,Мед
B121,Йогурт натуральный
B121,Шпинат
B121,Петрушка
B121,Яблоки
B121,Бананы
B121,Апельсины
B121,Груши
B121,Виноград
B121,Соус терияки
B121,Печенье овсяное
B121,Орехи грецкие
B121,Пакеты для мусора
B122,Моцарелла
B122,Пармезан
B122,Фарш говяжий
B122,Морковь
B122,Капуста белокочанная
B122,Шампиньоны
B122,Яблоки
B122,Лимоны
B122,Макароны пенне
B122,Овсяные хлопья
B122,Вода минеральная
B123,Сыр гауда
B123,Тунец консервированный
B123,Огурцы
B123,Салат айсберг
B123,Шпинат
B123,Авокадо
B123,Петрушка
B123,Лимоны
B123,Оливковое масло
B123,Кукуруза консервированная
B123,Кофе молотый
B123,Вода минеральная
B124,Молоко 2.5%
B124,Сыр гауда
B124,Хлеб пшеничный
B124,Куриное филе
B124,Картофель
B124,Лук репчатый
B124,Яблоки
B124,Рис длиннозерный
B124,Гречка
B124,Подсолнечное масло
B124,Вода минеральная
B124,Туалетная бумага
B125,Сыр гауда
B125,Лаваш
B125,Булочки для бургеров
B125,Авокадо
B125,Острый перец
B125,Манго
B125,Нори
B125,Кукуруза консервированная
B125,Сальса
B126,Лосось филе
B126,Огурцы
B126,Шпинат
B126,Лимоны
B126,Рис длиннозерный
B126,Оливковое масло
B126,Черный перец
B126,Вода минеральная
B127,Йогурт натуральный
B127,Хлеб пшеничный
B127,Огурцы
B127,Бананы
B127,Вода минеральная
B127,Шоколад темный
B127,Салат цезарь готовый
B127,Сэндвич с курицей
B128,Куриное филе
B128,Лосось филе
B128,Огурцы
B128,Шпинат
B128,Лимоны
B128,Черный перец
B128,Шоколад молочный
B129,Сметана 20%
B129,Тунец консервированный
B129,Помидоры
B129,Огурцы
B129,Перец болгарский
B129,Салат айсберг
B129,Бананы
B129,Оливковое масло
B129,Фасоль консервированная
B129,Кукуруза консервированная
B130,Креветки очищенные
B130,Чеснок
B130,Салат айсберг
B130,Брокколи
B130,Зеленый лук
B130,Острый перец
B130,Имбирь
B130,Лапша удон
B130,Мука пшеничная
B130,Соус терияки
B130,Суп куриный готовый
B131,Йогурт натуральный
B131,Шампиньоны
B131,Бананы
B131,Кофе зерновой
B131,Вода минеральная
B131,Шоколад темный
B131,Салат цезарь готовый
B131,Сэндвич с курицей
B132,Молоко 2.5%
B132,Крабовые палочки
B132,Огурцы
B132,Салат айсберг
B132,Авокадо
B132,Овсяные хлопья
B132,Нори
B132,Соевый соус
B132,Карри паста
B132,Шоколад молочный
B133,Молоко 2.5%
B133,Батон нарезной
B133,Яйца C1 10 шт
B133,Картофель
B133,Морковь
B133,Салат айсберг
B133,Петрушка
B133,Клубника
B133,Макароны пенне
B133,Овсяные хлопья
B133,Сахар
B133,Чай черный
B133,Печенье овсяное
B133,Бумажные полотенца
B133,Туалетная бумага
B134,Молоко 2.5%
B134,Сыр гауда
B134,Сливочное масло
B134,Хлеб пшеничный
B134,Яйца C1 10 шт
B134,Бананы
B134,Лимоны
B134,Манго
B134,Лапша удон
B134,Овсяные хлопья
B135,Колбаса докторская
B135,Лосось филе
B135,Помидоры
B135,Огурцы
B135,Авокадо
B135,Имбирь
B135,Рис для суши
B135,Нори
B135,Соевый соус
B135,Туалетная бумага
B136,Йогурт натуральный
B136,Помидоры
B136,Яблоки
B136,Бананы
B136,Апельсины
B136,Груши
B136,Виноград
B136,Оливковое масло
B136,Соус песто
B136,Овощная смесь замороженная
B136,Орехи грецкие
B137,Сыр гауда
B137,Лаваш
B137,Фарш говяжий
B137,Помидоры
B137,Авокадо
B137,Фасоль консервированная
B137,Сальса
B138,Молоко 2.5%
B138,Сливочное масло
B138,Хлеб пшеничный
B138,Яйца C1 10 шт
B138,Перец болгарский
B138,Мука пшеничная
B138,Сахар
B138,Ванильный сахар
B138,Какао порошок
B138,Оливки
B138,Шоколад темный
B138,Туалетная бумага
B139,Йогурт греческий
B139,Молоко безлактозное
B139,Бананы
B139,Овсяные хлопья
B139,Орехи грецкие
B140,Хлеб пшеничный
B140,Авокадо
B140,Газированная вода
B140,Пельмени
B140,Вареники с картофелем
B140,Овощная смесь замороженная
B141,Кефир
B141,Куриные бедра
B141,Огурцы
B141,Виноград
B141,Киви
B141,Овсяные хлопья
B141,Кетчуп
B141,Сальса
B141,Кофе молотый
B141,Газированная вода
B141,Мед
B141,Чипсы картофельные
B141,Детское пюре яблочное
B141,Бумажные полотенца
B142,Йогурт натуральный
B142,Бананы
B142,Груши
B142,Детское пюре яблочное
B142,Детская каша
B142,Подгузники
B142,Влажные салфетки
B143,Сыр гауда
B143,Сливочное масло
