basket_id,basket_theme,n_items,items
B040,breakfast_basic,7,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Кофе молотый
B041,lasagna_pasta,8,Сливки 10% | Моцарелла | Пармезан | Фарш говяжий | Шампиньоны | Макароны пенне | Томатная паста | Итальянские травы
B042,weekly_stock,17,Молоко 2.5% | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Лук репчатый | Перец болгарский | Салат айсберг | Яблоки | Виноград | Клубника | Голубика | Рис длиннозерный | Гречка | Подсолнечное масло | Печенье овсяное | Порошок стиральный | Бумажные полотенца
B043,frozen_quick,6,Газированная вода | Квас | Мороженое ванильное | Пельмени | Вареники с картофелем | Средство для посуды
B044,pets_home,6,Корм для кошек | Корм для собак | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца | Пакеты для мусора
B045,bbq_picnic,10,Лаваш | Куриные бедра | Свинина для жарки | Сосиски | Огурцы | Салат айсберг | Кетчуп | Картофель фри замороженный | Чипсы картофельные | Бумажные полотенца
B046,fitness_protein,7,Йогурт греческий | Куриное филе | Шпинат | Брокколи | Авокадо | Зеленый лук | Киноа
B047,pasta_italian,9,Молоко 2.5% | Лук репчатый | Чеснок | Лимоны | Макароны спагетти | Оливковое масло | Томатная паста | Итальянские травы | Чай черный
B048,breakfast_basic,8,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Свинина для жарки | Бананы | Овсяные хлопья | Кофе молотый
B049,burger_night,8,Сыр гауда | Булочки для бургеров | Бекон | Помидоры | Салат айсберг | Кетчуп | Горчица | Картофель фри замороженный
B050,seafood_asian,8,Креветки очищенные | Чеснок | Брокколи | Зеленый лук | Острый перец | Имбирь | Соевый соус | Соус терияки
B051,fish_dinner,8,Огурцы | Шпинат | Лимоны | Рис длиннозерный | Оливковое масло | Черный перец | Вода минеральная | Корм для собак
B052,breakfast_basic,10,Молоко 2.5% | Сыр гауда | Сливочное масло | Багет | Яйца C1 10 шт | Яблоки | Бананы | Овсяные хлопья | Кофе молотый | Шоколад молочный
B053,weekly_stock,10,Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Лук репчатый | Яблоки | Рис длиннозерный | Гречка | Подсолнечное масло | Туалетная бумага
B054,weekly_stock,14,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Лук репчатый | Авокадо | Яблоки | Виноград | Рис длиннозерный | Гречка | Подсолнечное масло | Вода минеральная | Порошок стиральный
B055,borsch_soup,13,Сметана 20% | Хлеб ржаной | Говядина стейк | Картофель | Морковь | Лук репчатый | Чеснок | Капуста белокочанная | Свекла | Салат айсберг | Укроп | Соус терияки | Пакеты для мусора
B056,pasta_italian,11,Сыр гауда | Пармезан | Хлеб ржаной | Багет | Помидоры | Голубика | Оливковое масло | Томатная паста | Горошек консервированный | Соус песто | Итальянские травы
B057,household_cleaning,6,Овсяные хлопья | Влажные салфетки | Порошок стиральный | Бумажные полотенца | Туалетная бумага | Пакеты для мусора
B058,baking_sweet,9,Молоко 2.5% | Сыр гауда | Яйца C1 10 шт | Гречка | Мука пшеничная | Сахар | Разрыхлитель теста | Какао порошок | Вода минеральная
B059,frozen_quick,7,Яйца C1 10 шт | Картофель | Кетчуп | Мороженое ванильное | Вареники с картофелем | Овощная смесь замороженная | Пицца замороженная
B060,pasta_italian,8,Пармезан | Багет | Чеснок | Лимоны | Макароны спагетти | Сахар | Оливковое масло | Итальянские травы
B061,party_snacks,8,Салат айсберг | Шпинат | Шампиньоны | Газированная вода | Квас | Мороженое ванильное | Пицца замороженная | Сухарики
B062,burger_night,8,Сметана 20% | Бекон | Помидоры | Салат айсберг | Шпинат | Кетчуп | Горчица | Кофе молотый
B063,breakfast_basic,7,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Овсяные хлопья | Кофе молотый
B064,fish_dinner,10,Лосось филе | Морковь | Лук репчатый | Огурцы | Шпинат | Лимоны | Рис длиннозерный | Оливковое масло | Разрыхлитель теста | Вода минеральная
B065,chicken_soup,7,Сливочное масло | Картофель | Морковь | Лук репчатый | Петрушка | Яблоки | Мороженое ванильное
B066,veggie_stew,11,Чеснок | Помидоры | Перец болгарский | Салат айсберг | Шампиньоны | Кабачки | Баклажаны | Булгур | Оливковое масло | Итальянские травы | Бумажные полотенца
B067,mexican_tacos,11,Сыр гауда | Лаваш | Фарш говяжий | Петрушка | Яблоки | Фасоль консервированная | Кукуруза консервированная | Сальса | Мороженое ванильное | Пицца замороженная | Бумажные полотенца
B068,pasta_italian,10,Пармезан | Багет | Чеснок | Помидоры | Шампиньоны | Макароны спагетти | Оливковое масло | Томатная паста | Соус песто | Итальянские травы
B069,breakfast_basic,7,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Кофе молотый
B070,frozen_quick,8,Разрыхлитель теста | Кетчуп | Газированная вода | Мороженое ванильное | Пельмени | Вареники с картофелем | Овощная смесь замороженная | Пицца замороженная
B071,baby_care,5,Молоко 2.5% | Яблоки | Бананы | Груши | Подгузники
B072,mexican_tacos,11,Сыр гауда | Лаваш | Яйца C1 10 шт | Котлеты куриные | Авокадо | Зеленый лук | Острый перец | Фасоль консервированная | Кукуруза консервированная | Сальса | Газированная вода
B073,baking_sweet,11,Молоко 2.5% | Сливочное масло | Бананы | Виноград | Овсяные хлопья | Сахар | Панировочные сухари | Ванильный сахар | Какао порошок | Кофе молотый | Шоколад темный
B074,party_snacks,11,Куриное филе | Лук репчатый | Зеленый лук | Лимоны | Виноград | Газированная вода | Мороженое ванильное | Пицца замороженная | Шоколад молочный | Сухарики | Сэндвич с курицей
B075,kids_breakfast,6,Молоко 2.5% | Бананы | Сок яблочный | Хлопья кукурузные | Детское пюре яблочное | Детская каша
B076,salad_light,8,Тунец консервированный | Помидоры | Салат айсберг | Авокадо | Бананы | Овсяные хлопья | Оливковое масло | Мороженое ванильное
B077,russian_salads,6,Яйца C1 10 шт | Морковь | Укроп | Горошек консервированный | Майонез | Кофе молотый
B078,fitness_protein,11,Йогурт греческий | Яйца C1 10 шт | Куриное филе | Огурцы | Шпинат | Брокколи | Авокадо | Клубника | Киноа | Чай черный | Вода минеральная
B079,pets_home,6,Лук репчатый | Яблоки | Корм для кошек | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца
B080,salad_light,8,Огурцы | Перец болгарский | Салат айсберг | Авокадо | Лимоны | Кукуруза консервированная | Шоколад молочный | Туалетная бумага
B081,fitness_protein,10,Молоко 2.5% | Йогурт греческий | Куриное филе | Шпинат | Брокколи | Авокадо | Киноа | Вода минеральная | Миндаль | Бумажные полотенца
B082,fish_dinner,12,Лосось филе | Помидоры | Огурцы | Перец болгарский | Шпинат | Бананы | Лимоны | Рис длиннозерный | Оливковое масло | Черный перец | Вода минеральная | Туалетная бумага
B083,lasagna_pasta,10,Сливки 10% | Моцарелла | Батон нарезной | Фарш говяжий | Салат айсберг | Шампиньоны | Яблоки | Томатная паста | Чай черный | Средство для посуды
B084,big_family_stock,12,Хлеб пшеничный | Батон нарезной | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Картофель | Перец болгарский | Гречка | Сахар | Томатная паста | Чай черный | Бумажные полотенца
B085,veggie_stew,11,Сыр гауда | Картофель | Чеснок | Помидоры | Перец болгарский | Шпинат | Шампиньоны | Кабачки | Баклажаны | Оливковое масло | Итальянские травы
B086,office_lunch,8,Шампиньоны | Укроп | Петрушка | Бананы | Чай черный | Вода минеральная | Шоколад темный | Сэндвич с курицей
B087,healthy_breakfast,6,Йогурт греческий | Бананы | Овсяные хлопья | Мед | Орехи грецкие | Гранола
B088,pets_home,5,Корм для собак | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца | Пакеты для мусора
B089,bbq_picnic,14,Моцарелла | Лаваш | Куриные бедра | Свинина для жарки | Лук репчатый | Помидоры | Огурцы | Шампиньоны | Авокадо | Яблоки | Кетчуп | Газированная вода | Чипсы картофельные | Бумажные полотенца
B090,sushi_home,8,Хлеб ржаной | Лосось филе | Крабовые палочки | Имбирь | Рис для суши | Нори | Соевый соус | Влажные салфетки
B091,pasta_italian,12,Сметана 20% | Пармезан | Багет | Картофель | Чеснок | Помидоры | Перец болгарский | Макароны спагетти | Оливковое масло | Томатная паста | Соус песто | Итальянские травы
B092,breakfast_basic,9,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Морковь | Бананы | Овсяные хлопья | Кофе молотый
B093,bbq_picnic,7,Лаваш | Куриные бедра | Помидоры | Огурцы | Газированная вода | Чипсы картофельные | Бумажные полотенца
B094,pets_home,8,Сметана 20% | Яйца C1 10 шт | Вода минеральная | Корм для собак | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца | Пакеты для мусора
B095,lasagna_pasta,9,Сливки 10% | Моцарелла | Пармезан | Фарш говяжий | Шампиньоны | Макароны пенне | Томатная паста | Итальянские травы | Шоколад молочный
B096,curry_dinner,7,Куриное филе | Брокколи | Имбирь | Лимоны | Рис длиннозерный | Кокосовое молоко | Карри паста
B097,lasagna_pasta,12,Сливки 10% | Моцарелла | Пармезан | Ряженка | Фарш говяжий | Лосось филе | Шампиньоны | Яблоки | Макароны пенне | Итальянские травы | Чай зеленый | Средство для посуды
B098,breakfast_basic,8,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Овсяные хлопья | Кофе молотый
B099,weekly_stock,13,Яйца C1 10 шт | Картофель | Морковь | Лук репчатый | Огурцы | Петрушка | Лимоны | Клубника | Рис длиннозерный | Гречка | Подсолнечное масло | Фасоль консервированная | Вода минеральная
B100,baby_care,5,Молоко 2.5% | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B101,sushi_home,10,Сыр гауда | Лосось филе | Крабовые палочки | Огурцы | Авокадо | Имбирь | Рис для суши | Нори | Томатная паста | Соевый соус
B102,bbq_picnic,9,Куриные бедра | Свинина для жарки | Помидоры | Огурцы | Голубика | Кетчуп | Газированная вода | Чипсы картофельные | Бумажные полотенца
B103,salad_light,9,Тунец консервированный | Помидоры | Огурцы | Перец болгарский | Авокадо | Лимоны | Оливковое масло | Кукуруза консервированная | Газированная вода
B104,kids_breakfast,9,Молоко 2.5% | Йогурт натуральный | Сок яблочный | Шоколад молочный | Печенье овсяное | Хлопья кукурузные | Детское пюре яблочное | Детская каша | Влажные салфетки
B105,baking_sweet,7,Молоко 2.5% | Сливочное масло | Мука пшеничная | Разрыхлитель теста | Ванильный сахар | Какао порошок | Шоколад темный
B106,office_lunch,6,Йогурт натуральный | Хлеб пшеничный | Бананы | Вода минеральная | Салат цезарь готовый | Сэндвич с курицей
B107,office_lunch,6,Йогурт натуральный | Кофе зерновой | Вода минеральная | Шоколад темный | Салат цезарь готовый | Сэндвич с курицей
B108,lasagna_pasta,7,Сливки 10% | Пармезан | Фарш говяжий | Огурцы | Макароны пенне | Итальянские травы | Средство для посуды
B109,salad_light,10,Молоко 2.5% | Тунец консервированный | Морковь | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Укроп | Лимоны | Оливковое масло
B110,burger_night,12,Сыр гауда | Булочки для бургеров | Фарш говяжий | Бекон | Морковь | Помидоры | Укроп | Виноград | Киви | Кетчуп | Горчица | Мороженое ванильное
B111,veggie_stew,10,Хлеб пшеничный | Чеснок | Помидоры | Перец болгарский | Шпинат | Шампиньоны | Кабачки | Булгур | Итальянские травы | Влажные салфетки
B112,weekly_stock,16,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Картофель | Лук репчатый | Шампиньоны | Бананы | Лимоны | Рис длиннозерный | Овсяные хлопья | Подсолнечное масло | Фасоль консервированная | Чай черный | Вода минеральная | Порошок стиральный
B113,tea_sweets,10,Молоко 2.5% | Круассаны | Перец болгарский | Овсяные хлопья | Чай черный | Кофе молотый | Шоколад молочный | Печенье овсяное | Вафли | Джем клубничный
B114,breakfast_basic,7,Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Огурцы | Бананы | Кофе молотый | Газированная вода
B115,frozen_quick,8,Бананы | Кетчуп | Газированная вода | Мороженое ванильное | Пельмени | Вареники с картофелем | Овощная смесь замороженная | Пицца замороженная
B116,household_cleaning,7,Куриное филе | Картофель | Чай черный | Порошок стиральный | Бумажные полотенца | Туалетная бумага | Пакеты для мусора
B117,household_cleaning,6,Овсяные хлопья | Влажные салфетки | Средство для посуды | Порошок стиральный | Туалетная бумага | Пакеты для мусора
B118,weekly_stock,13,Молоко 2.5% | Сыр гауда | Яйца C1 10 шт | Лук репчатый | Зеленый лук | Укроп | Яблоки | Рис длиннозерный | Овсяные хлопья | Подсолнечное масло | Вода минеральная | Газированная вода | Туалетная бумага
B119,salad_light,8,Тунец консервированный | Лук репчатый | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Голубика | Киноа
B120,sushi_home,10,Яйца C1 10 шт | Ветчина | Лосось филе | Крабовые палочки | Огурцы | Авокадо | Имбирь | Соевый соус | Квас | Мед
B121,fruit_snack,12,Йогурт натуральный | Шпинат | Петрушка | Яблоки | Бананы | Апельсины | Груши | Виноград | Соус терияки | Печенье овсяное | Орехи грецкие | Пакеты для мусора
B122,lasagna_pasta,11,Моцарелла | Пармезан | Фарш говяжий | Морковь | Капуста белокочанная | Шампиньоны | Яблоки | Лимоны | Макароны пенне | Овсяные хлопья | Вода минеральная
B123,salad_light,12,Сыр гауда | Тунец консервированный | Огурцы | Салат айсберг | Шпинат | Авокадо | Петрушка | Лимоны | Оливковое масло | Кукуруза консервированная | Кофе молотый | Вода минеральная
B124,weekly_stock,12,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Куриное филе | Картофель | Лук репчатый | Яблоки | Рис длиннозерный | Гречка | Подсолнечное масло | Вода минеральная | Туалетная бумага
B125,mexican_tacos,9,Сыр гауда | Лаваш | Булочки для бургеров | Авокадо | Острый перец | Манго | Нори | Кукуруза консервированная | Сальса
B126,fish_dinner,8,Лосось филе | Огурцы | Шпинат | Лимоны | Рис длиннозерный | Оливковое масло | Черный перец | Вода минеральная
B127,office_lunch,8,Йогурт натуральный | Хлеб пшеничный | Огурцы | Бананы | Вода минеральная | Шоколад темный | Салат цезарь готовый | Сэндвич с курицей
B128,fish_dinner,7,Куриное филе | Лосось филе | Огурцы | Шпинат | Лимоны | Черный перец | Шоколад молочный
B129,salad_light,10,Сметана 20% | Тунец консервированный | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Бананы | Оливковое масло | Фасоль консервированная | Кукуруза консервированная
B130,seafood_asian,11,Креветки очищенные | Чеснок | Салат айсберг | Брокколи | Зеленый лук | Острый перец | Имбирь | Лапша удон | Мука пшеничная | Соус терияки | Суп куриный готовый
B131,office_lunch,8,Йогурт натуральный | Шампиньоны | Бананы | Кофе зерновой | Вода минеральная | Шоколад темный | Салат цезарь готовый | Сэндвич с курицей
B132,sushi_home,10,Молоко 2.5% | Крабовые палочки | Огурцы | Салат айсберг | Авокадо | Овсяные хлопья | Нори | Соевый соус | Карри паста | Шоколад молочный
B133,big_family_stock,15,Молоко 2.5% | Батон нарезной | Яйца C1 10 шт | Картофель | Морковь | Салат айсберг | Петрушка | Клубника | Макароны пенне | Овсяные хлопья | Сахар | Чай черный | Печенье овсяное | Бумажные полотенца | Туалетная бумага
B134,breakfast_basic,10,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Лимоны | Манго | Лапша удон | Овсяные хлопья
B135,sushi_home,10,Колбаса докторская | Лосось филе | Помидоры | Огурцы | Авокадо | Имбирь | Рис для суши | Нори | Соевый соус | Туалетная бумага
B136,fruit_snack,11,Йогурт натуральный | Помидоры | Яблоки | Бананы | Апельсины | Груши | Виноград | Оливковое масло | Соус песто | Овощная смесь замороженная | Орехи грецкие
B137,mexican_tacos,7,Сыр гауда | Лаваш | Фарш говяжий | Помидоры | Авокадо | Фасоль консервированная | Сальса
B138,baking_sweet,12,Молоко 2.5% | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Перец болгарский | Мука пшеничная | Сахар | Ванильный сахар | Какао порошок | Оливки | Шоколад темный | Туалетная бумага
B139,healthy_breakfast,5,Йогурт греческий | Молоко безлактозное | Бананы | Овсяные хлопья | Орехи грецкие
B140,frozen_quick,6,Хлеб пшеничный | Авокадо | Газированная вода | Пельмени | Вареники с картофелем | Овощная смесь замороженная
B141,bbq_picnic,14,Кефир | Куриные бедра | Огурцы | Виноград | Киви | Овсяные хлопья | Кетчуп | Сальса | Кофе молотый | Газированная вода | Мед | Чипсы картофельные | Детское пюре яблочное | Бумажные полотенца
B142,baby_care,7,Йогурт натуральный | Бананы | Груши | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B143,breakfast_basic,8,Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Овсяные хлопья | Кофе молотый | Туалетная бумага
B144,sandwiches,10,Сыр гауда | Сыр творожный | Хлеб пшеничный | Ветчина | Лук репчатый | Огурцы | Перец болгарский | Салат айсберг | Клубника | Бумажные полотенца
B145,pasta_italian,11,Молоко безлактозное | Багет | Чеснок | Помидоры | Макароны спагетти | Оливковое масло | Томатная паста | Соус песто | Итальянские травы | Вода минеральная | Морс ягодный
B146,russian_salads,8,Яйца C1 10 шт | Куриное филе | Колбаса докторская | Картофель | Морковь | Укроп | Виноград | Горошек консервированный
B147,russian_salads,10,Яйца C1 10 шт | Колбаса докторская | Картофель | Огурцы | Авокадо | Укроп | Имбирь | Овсяные хлопья | Горошек консервированный | Суп куриный готовый
B148,breakfast_basic,10,Молоко 2.5% | Хлеб пшеничный | Яйца C1 10 шт | Шампиньоны | Зеленый лук | Петрушка | Бананы | Овсяные хлопья | Чай черный | Кофе молотый
B149,bbq_picnic,12,Лаваш | Куриное филе | Куриные бедра | Свинина для жарки | Картофель | Лук репчатый | Помидоры | Огурцы | Кетчуп | Кофе молотый | Газированная вода | Чипсы картофельные
B150,pasta_italian,7,Морковь | Чеснок | Помидоры | Киви | Макароны спагетти | Соус песто | Итальянские травы
B151,veggie_stew,9,Чеснок | Помидоры | Шампиньоны | Кабачки | Оливковое масло | Итальянские травы | Чай черный | Мороженое ванильное | Средство для посуды
B152,veggie_stew,12,Чеснок | Перец болгарский | Шампиньоны | Кабачки | Баклажаны | Виноград | Булгур | Оливковое масло | Итальянские травы | Кофе молотый | Печенье овсяное | Туалетная бумага
B153,pasta_italian,10,Пармезан | Багет | Куриное филе | Чеснок | Помидоры | Оливковое масло | Соус песто | Паприка | Итальянские травы | Вода минеральная
B154,big_family_stock,10,Молоко 2.5% | Яйца C1 10 шт | Фарш говяжий | Картофель | Морковь | Лимоны | Гречка | Сахар | Бумажные полотенца | Туалетная бумага
B155,pets_home,6,Корм для кошек | Корм для собак | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца | Пакеты для мусора
B156,weekly_stock,14,Молоко 2.5% | Сметана 20% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Лук репчатый | Авокадо | Виноград | Голубика | Рис длиннозерный | Овсяные хлопья | Вода минеральная
B157,pets_home,6,Сыр гауда | Хлеб пшеничный | Корм для кошек | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца
B158,salad_light,13,Моцарелла | Свинина для жарки | Тунец консервированный | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Авокадо | Лимоны | Оливковое масло | Кукуруза консервированная | Карри паста | Пакеты для мусора
B159,tea_sweets,6,Лимоны | Чай черный | Кофе молотый | Печенье овсяное | Вафли | Джем клубничный
B160,salad_light,8,Огурцы | Перец болгарский | Шпинат | Лимоны | Оливковое масло | Кукуруза консервированная | Газированная вода | Туалетная бумага
B161,borsch_soup,12,Молоко 2.5% | Сметана 20% | Хлеб ржаной | Говядина стейк | Морковь | Лук репчатый | Чеснок | Капуста белокочанная | Свекла | Зеленый лук | Укроп | Порошок стиральный
B162,chicken_soup,9,Куриные бедра | Картофель | Лук репчатый | Помидоры | Шампиньоны | Петрушка | Лапша удон | Черный перец | Суп куриный готовый
B163,curry_dinner,11,Куриное филе | Чеснок | Помидоры | Шпинат | Шампиньоны | Брокколи | Имбирь | Рис длиннозерный | Подсолнечное масло | Кокосовое молоко | Газированная вода
B164,household_cleaning,5,Молоко 2.5% | Мороженое ванильное | Порошок стиральный | Туалетная бумага | Пакеты для мусора
B165,kids_breakfast,12,Молоко 2.5% | Йогурт натуральный | Творог 5% | Бананы | Сок яблочный | Вода минеральная | Печенье овсяное | Хлопья кукурузные | Детское пюре яблочное | Детская каша | Влажные салфетки | Бумажные полотенца
B166,frozen_quick,9,Лаваш | Куриное филе | Кетчуп | Газированная вода | Пельмени | Вареники с картофелем | Овощная смесь замороженная | Пицца замороженная | Мед
B167,office_lunch,6,Йогурт натуральный | Бананы | Кофе зерновой | Вода минеральная | Шоколад темный | Салат цезарь готовый
B168,lasagna_pasta,9,Сливки 10% | Моцарелла | Фарш говяжий | Лосось филе | Шампиньоны | Укроп | Голубика | Макароны пенне | Томатная паста
